"","Taxa","DetectionThreshold","Prevalence","color","name"
"190","Anaerotruncus_unclassified","0.01",0,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"219","Bilophila_wadsworthia","0.01",0,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"193","Lachnospiraceae_bacterium_7_1_58FAA","0.01",0.000874125874125874,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"187","Veillonella_unclassified","0.01",0.00262237762237762,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"196","Alistipes_senegalensis","0.01",0.0034965034965035,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"198","Bilophila_unclassified","0.01",0.00437062937062937,"#797979","<i style='color:#797979'>Bilophila_unclassified</i>"
"210","Adlercreutzia_equolifaciens","0.01",0.00786713286713287,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"220","Clostridium_bartlettii","0.01",0.0113636363636364,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"186","Streptococcus_parasanguinis","0.01",0.0148601398601399,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"213","Anaerostipes_hadrus","0.01",0.0244755244755245,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"199","Lachnospiraceae_bacterium_5_1_63FAA","0.01",0.0288461538461538,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_5_1_63FAA</i>"
"197","Clostridium_leptum","0.01",0.0305944055944056,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"214","Coprococcus_catus","0.01",0.0375874125874126,"#D55E00","<i style='color:#D55E00'>Coprococcus_catus</i>"
"185","Eubacterium_ramulus","0.01",0.0384615384615385,"#797979","<i style='color:#797979'>Eubacterium_ramulus</i>"
"181","Lachnospiraceae_bacterium_3_1_46FAA","0.01",0.041958041958042,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_3_1_46FAA</i>"
"135","Anaerotruncus_unclassified","0.001",0.0437062937062937,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"178","Oscillibacter_unclassified","0.01",0.0445804195804196,"#797979","<i style='color:#797979'>Oscillibacter_unclassified</i>"
"207","Bacteroides_xylanisolvens","0.01",0.0559440559440559,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"164","Bilophila_wadsworthia","0.001",0.0576923076923077,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"132","Veillonella_unclassified","0.001",0.0585664335664336,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"216","Escherichia_coli","0.01",0.0664335664335664,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"194","Streptococcus_salivarius","0.01",0.0760489510489511,"#797979","<i style='color:#797979'>Streptococcus_salivarius</i>"
"171","Alistipes_finegoldii","0.01",0.0839160839160839,"#797979","<i style='color:#797979'>Alistipes_finegoldii</i>"
"184","Eubacterium_ventriosum","0.01",0.0882867132867133,"#797979","<i style='color:#797979'>Eubacterium_ventriosum</i>"
"183","Roseburia_hominis","0.01",0.118006993006993,"#797979","<i style='color:#797979'>Roseburia_hominis</i>"
"175","Bacteroidales_bacterium_ph8","0.01",0.131118881118881,"#797979","<i style='color:#797979'>Bacteroidales_bacterium_ph8</i>"
"141","Alistipes_senegalensis","0.001",0.142482517482517,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"202","Bacteroides_thetaiotaomicron","0.01",0.148601398601399,"#797979","<i style='color:#797979'>Bacteroides_thetaiotaomicron</i>"
"177","Parabacteroides_distasonis","0.01",0.160839160839161,"#797979","<i style='color:#797979'>Parabacteroides_distasonis</i>"
"138","Lachnospiraceae_bacterium_7_1_58FAA","0.001",0.166083916083916,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"131","Streptococcus_parasanguinis","0.001",0.201048951048951,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"212","Alistipes_onderdonkii","0.01",0.207167832167832,"#797979","<i style='color:#797979'>Alistipes_onderdonkii</i>"
"142","Clostridium_leptum","0.001",0.214160839160839,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"217","Eubacterium_siraeum","0.01",0.215034965034965,"#D55E00","<i style='color:#D55E00'>Eubacterium_siraeum</i>"
"179","Odoribacter_splanchnicus","0.01",0.217657342657343,"#797979","<i style='color:#797979'>Odoribacter_splanchnicus</i>"
"188","Dorea_formicigenerans","0.01",0.223776223776224,"#797979","<i style='color:#797979'>Dorea_formicigenerans</i>"
"155","Adlercreutzia_equolifaciens","0.001",0.227272727272727,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"169","Alistipes_shahii","0.01",0.230769230769231,"#797979","<i style='color:#797979'>Alistipes_shahii</i>"
"165","Clostridium_bartlettii","0.001",0.244755244755245,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"205","Roseburia_inulinivorans","0.01",0.258741258741259,"#797979","<i style='color:#797979'>Roseburia_inulinivorans</i>"
"174","Roseburia_intestinalis","0.01",0.26048951048951,"#D55E00","<i style='color:#D55E00'>Roseburia_intestinalis</i>"
"180","Akkermansia_muciniphila","0.01",0.26486013986014,"#797979","<i style='color:#797979'>Akkermansia_muciniphila</i>"
"189","Eubacterium_eligens","0.01",0.277097902097902,"#797979","<i style='color:#797979'>Eubacterium_eligens</i>"
"161","Escherichia_coli","0.001",0.284090909090909,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"158","Anaerostipes_hadrus","0.001",0.291958041958042,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"204","Bacteroides_dorei","0.01",0.298951048951049,"#797979","<i style='color:#797979'>Bacteroides_dorei</i>"
"167","Bacteroides_ovatus","0.01",0.309440559440559,"#D55E00","<i style='color:#D55E00'>Bacteroides_ovatus</i>"
"152","Bacteroides_xylanisolvens","0.001",0.313811188811189,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"168","Bacteroides_caccae","0.01",0.31993006993007,"#797979","<i style='color:#797979'>Bacteroides_caccae</i>"
"191","Ruminococcus_obeum","0.01",0.326923076923077,"#797979","<i style='color:#797979'>Ruminococcus_obeum</i>"
"77","Veillonella_unclassified","1e-04",0.329545454545455,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"143","Bilophila_unclassified","0.001",0.332167832167832,"#797979","<i style='color:#797979'>Bilophila_unclassified</i>"
"126","Lachnospiraceae_bacterium_3_1_46FAA","0.001",0.361013986013986,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_3_1_46FAA</i>"
"144","Lachnospiraceae_bacterium_5_1_63FAA","0.001",0.362762237762238,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_5_1_63FAA</i>"
"201","Barnesiella_intestinihominis","0.01",0.368881118881119,"#797979","<i style='color:#797979'>Barnesiella_intestinihominis</i>"
"80","Anaerotruncus_unclassified","1e-04",0.375874125874126,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"209","Coprococcus_comes","0.01",0.377622377622378,"#797979","<i style='color:#797979'>Coprococcus_comes</i>"
"166","Parabacteroides_merdae","0.01",0.38986013986014,"#797979","<i style='color:#797979'>Parabacteroides_merdae</i>"
"109","Bilophila_wadsworthia","1e-04",0.40472027972028,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"139","Streptococcus_salivarius","0.001",0.420454545454545,"#797979","<i style='color:#797979'>Streptococcus_salivarius</i>"
"195","Collinsella_aerofaciens","0.01",0.420454545454545,"#797979","<i style='color:#797979'>Collinsella_aerofaciens</i>"
"211","Dorea_longicatena","0.01",0.434440559440559,"#797979","<i style='color:#797979'>Dorea_longicatena</i>"
"208","Eubacterium_hallii","0.01",0.435314685314685,"#D55E00","<i style='color:#D55E00'>Eubacterium_hallii</i>"
"215","Bifidobacterium_longum","0.01",0.440559440559441,"#797979","<i style='color:#797979'>Bifidobacterium_longum</i>"
"116","Alistipes_finegoldii","0.001",0.445804195804196,"#797979","<i style='color:#797979'>Alistipes_finegoldii</i>"
"125","Akkermansia_muciniphila","0.001",0.445804195804196,"#797979","<i style='color:#797979'>Akkermansia_muciniphila</i>"
"218","Bifidobacterium_adolescentis","0.01",0.452797202797203,"#797979","<i style='color:#797979'>Bifidobacterium_adolescentis</i>"
"162","Eubacterium_siraeum","0.001",0.45541958041958,"#D55E00","<i style='color:#D55E00'>Eubacterium_siraeum</i>"
"123","Oscillibacter_unclassified","0.001",0.465909090909091,"#797979","<i style='color:#797979'>Oscillibacter_unclassified</i>"
"86","Alistipes_senegalensis","1e-04",0.47465034965035,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"122","Parabacteroides_distasonis","0.001",0.488636363636364,"#797979","<i style='color:#797979'>Parabacteroides_distasonis</i>"
"130","Eubacterium_ramulus","0.001",0.493006993006993,"#797979","<i style='color:#797979'>Eubacterium_ramulus</i>"
"129","Eubacterium_ventriosum","0.001",0.512237762237762,"#797979","<i style='color:#797979'>Eubacterium_ventriosum</i>"
"110","Clostridium_bartlettii","1e-04",0.518356643356643,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"206","Ruminococcus_sp_5_1_39BFAA","0.01",0.524475524475524,"#797979","<i style='color:#797979'>Ruminococcus_sp_5_1_39BFAA</i>"
"172","Bacteroides_vulgatus","0.01",0.52972027972028,"#797979","<i style='color:#797979'>Bacteroides_vulgatus</i>"
"106","Escherichia_coli","1e-04",0.536713286713287,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"203","Ruminococcus_bromii","0.01",0.536713286713287,"#797979","<i style='color:#797979'>Ruminococcus_bromii</i>"
"192","Ruminococcus_torques","0.01",0.548951048951049,"#797979","<i style='color:#797979'>Ruminococcus_torques</i>"
"100","Adlercreutzia_equolifaciens","1e-04",0.555944055944056,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"147","Bacteroides_thetaiotaomicron","0.001",0.559440559440559,"#797979","<i style='color:#797979'>Bacteroides_thetaiotaomicron</i>"
"119","Roseburia_intestinalis","0.001",0.561188811188811,"#D55E00","<i style='color:#D55E00'>Roseburia_intestinalis</i>"
"128","Roseburia_hominis","0.001",0.562937062937063,"#797979","<i style='color:#797979'>Roseburia_hominis</i>"
"70","Akkermansia_muciniphila","1e-04",0.576923076923077,"#797979","<i style='color:#797979'>Akkermansia_muciniphila</i>"
"76","Streptococcus_parasanguinis","1e-04",0.577797202797203,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"120","Bacteroidales_bacterium_ph8","0.001",0.583041958041958,"#797979","<i style='color:#797979'>Bacteroidales_bacterium_ph8</i>"
"157","Alistipes_onderdonkii","0.001",0.590034965034965,"#797979","<i style='color:#797979'>Alistipes_onderdonkii</i>"
"55","Clostridium_bartlettii","1e-05",0.601398601398601,"#797979","<i style='color:#797979'>Clostridium_bartlettii</i>"
"54","Bilophila_wadsworthia","1e-05",0.605769230769231,"#797979","<i style='color:#797979'>Bilophila_wadsworthia</i>"
"200","Bacteroides_uniformis","0.01",0.607517482517482,"#797979","<i style='color:#797979'>Bacteroides_uniformis</i>"
"159","Coprococcus_catus","0.001",0.611888111888112,"#D55E00","<i style='color:#D55E00'>Coprococcus_catus</i>"
"31","Alistipes_senegalensis","1e-05",0.613636363636364,"#797979","<i style='color:#797979'>Alistipes_senegalensis</i>"
"163","Bifidobacterium_adolescentis","0.001",0.616258741258741,"#797979","<i style='color:#797979'>Bifidobacterium_adolescentis</i>"
"25","Anaerotruncus_unclassified","1e-05",0.617132867132867,"#797979","<i style='color:#797979'>Anaerotruncus_unclassified</i>"
"148","Ruminococcus_bromii","0.001",0.619755244755245,"#797979","<i style='color:#797979'>Ruminococcus_bromii</i>"
"149","Bacteroides_dorei","0.001",0.623251748251748,"#797979","<i style='color:#797979'>Bacteroides_dorei</i>"
"107","Eubacterium_siraeum","1e-04",0.626748251748252,"#D55E00","<i style='color:#D55E00'>Eubacterium_siraeum</i>"
"124","Odoribacter_splanchnicus","0.001",0.628496503496504,"#797979","<i style='color:#797979'>Odoribacter_splanchnicus</i>"
"51","Escherichia_coli","1e-05",0.630244755244755,"#797979","<i style='color:#797979'>Escherichia_coli</i>"
"14","Odoribacter_splanchnicus","1e-05",0.636363636363636,"#797979","<i style='color:#797979'>Odoribacter_splanchnicus</i>"
"69","Odoribacter_splanchnicus","1e-04",0.636363636363636,"#797979","<i style='color:#797979'>Odoribacter_splanchnicus</i>"
"170","Alistipes_putredinis","0.01",0.640734265734266,"#797979","<i style='color:#797979'>Alistipes_putredinis</i>"
"15","Akkermansia_muciniphila","1e-05",0.641608391608392,"#797979","<i style='color:#797979'>Akkermansia_muciniphila</i>"
"97","Bacteroides_xylanisolvens","1e-04",0.644230769230769,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"22","Veillonella_unclassified","1e-05",0.645104895104895,"#797979","<i style='color:#797979'>Veillonella_unclassified</i>"
"111","Parabacteroides_merdae","0.001",0.652972027972028,"#797979","<i style='color:#797979'>Parabacteroides_merdae</i>"
"113","Bacteroides_caccae","0.001",0.652972027972028,"#797979","<i style='color:#797979'>Bacteroides_caccae</i>"
"67","Parabacteroides_distasonis","1e-04",0.659090909090909,"#797979","<i style='color:#797979'>Parabacteroides_distasonis</i>"
"134","Eubacterium_eligens","0.001",0.670454545454545,"#797979","<i style='color:#797979'>Eubacterium_eligens</i>"
"71","Lachnospiraceae_bacterium_3_1_46FAA","1e-04",0.679195804195804,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_3_1_46FAA</i>"
"83","Lachnospiraceae_bacterium_7_1_58FAA","1e-04",0.679195804195804,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"74","Eubacterium_ventriosum","1e-04",0.690559440559441,"#797979","<i style='color:#797979'>Eubacterium_ventriosum</i>"
"52","Eubacterium_siraeum","1e-05",0.693181818181818,"#D55E00","<i style='color:#D55E00'>Eubacterium_siraeum</i>"
"87","Clostridium_leptum","1e-04",0.694055944055944,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"56","Parabacteroides_merdae","1e-04",0.69493006993007,"#797979","<i style='color:#797979'>Parabacteroides_merdae</i>"
"146","Barnesiella_intestinihominis","0.001",0.695804195804196,"#797979","<i style='color:#797979'>Barnesiella_intestinihominis</i>"
"61","Alistipes_finegoldii","1e-04",0.696678321678322,"#797979","<i style='color:#797979'>Alistipes_finegoldii</i>"
"160","Bifidobacterium_longum","0.001",0.699300699300699,"#797979","<i style='color:#797979'>Bifidobacterium_longum</i>"
"103","Anaerostipes_hadrus","1e-04",0.700174825174825,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"114","Alistipes_shahii","0.001",0.704545454545455,"#797979","<i style='color:#797979'>Alistipes_shahii</i>"
"45","Adlercreutzia_equolifaciens","1e-05",0.70541958041958,"#797979","<i style='color:#797979'>Adlercreutzia_equolifaciens</i>"
"150","Roseburia_inulinivorans","0.001",0.706293706293706,"#797979","<i style='color:#797979'>Roseburia_inulinivorans</i>"
"64","Roseburia_intestinalis","1e-04",0.708916083916084,"#D55E00","<i style='color:#D55E00'>Roseburia_intestinalis</i>"
"88","Bilophila_unclassified","1e-04",0.711538461538462,"#797979","<i style='color:#797979'>Bilophila_unclassified</i>"
"108","Bifidobacterium_adolescentis","1e-04",0.711538461538462,"#797979","<i style='color:#797979'>Bifidobacterium_adolescentis</i>"
"58","Bacteroides_caccae","1e-04",0.712412587412587,"#797979","<i style='color:#797979'>Bacteroides_caccae</i>"
"12","Parabacteroides_distasonis","1e-05",0.715034965034965,"#797979","<i style='color:#797979'>Parabacteroides_distasonis</i>"
"1","Parabacteroides_merdae","1e-05",0.719405594405594,"#797979","<i style='color:#797979'>Parabacteroides_merdae</i>"
"112","Bacteroides_ovatus","0.001",0.72027972027972,"#D55E00","<i style='color:#D55E00'>Bacteroides_ovatus</i>"
"93","Ruminococcus_bromii","1e-04",0.72465034965035,"#797979","<i style='color:#797979'>Ruminococcus_bromii</i>"
"84","Streptococcus_salivarius","1e-04",0.728146853146853,"#797979","<i style='color:#797979'>Streptococcus_salivarius</i>"
"3","Bacteroides_caccae","1e-05",0.734265734265734,"#797979","<i style='color:#797979'>Bacteroides_caccae</i>"
"92","Bacteroides_thetaiotaomicron","1e-04",0.736013986013986,"#797979","<i style='color:#797979'>Bacteroides_thetaiotaomicron</i>"
"21","Streptococcus_parasanguinis","1e-05",0.736888111888112,"#797979","<i style='color:#797979'>Streptococcus_parasanguinis</i>"
"140","Collinsella_aerofaciens","0.001",0.736888111888112,"#797979","<i style='color:#797979'>Collinsella_aerofaciens</i>"
"65","Bacteroidales_bacterium_ph8","1e-04",0.737762237762238,"#797979","<i style='color:#797979'>Bacteroidales_bacterium_ph8</i>"
"94","Bacteroides_dorei","1e-04",0.743881118881119,"#797979","<i style='color:#797979'>Bacteroides_dorei</i>"
"153","Eubacterium_hallii","0.001",0.744755244755245,"#D55E00","<i style='color:#D55E00'>Eubacterium_hallii</i>"
"133","Dorea_formicigenerans","0.001",0.747377622377622,"#797979","<i style='color:#797979'>Dorea_formicigenerans</i>"
"42","Bacteroides_xylanisolvens","1e-05",0.75,"#D55E00","<i style='color:#D55E00'>Bacteroides_xylanisolvens</i>"
"9","Roseburia_intestinalis","1e-05",0.752622377622378,"#D55E00","<i style='color:#D55E00'>Roseburia_intestinalis</i>"
"19","Eubacterium_ventriosum","1e-05",0.755244755244755,"#797979","<i style='color:#797979'>Eubacterium_ventriosum</i>"
"151","Ruminococcus_sp_5_1_39BFAA","0.001",0.756118881118881,"#797979","<i style='color:#797979'>Ruminococcus_sp_5_1_39BFAA</i>"
"176","Subdoligranulum_unclassified","0.01",0.756993006993007,"#D55E00","<i style='color:#D55E00'>Subdoligranulum_unclassified</i>"
"115","Alistipes_putredinis","0.001",0.757867132867133,"#797979","<i style='color:#797979'>Alistipes_putredinis</i>"
"75","Eubacterium_ramulus","1e-04",0.758741258741259,"#797979","<i style='color:#797979'>Eubacterium_ramulus</i>"
"10","Bacteroidales_bacterium_ph8","1e-05",0.763111888111888,"#797979","<i style='color:#797979'>Bacteroidales_bacterium_ph8</i>"
"91","Barnesiella_intestinihominis","1e-04",0.763111888111888,"#797979","<i style='color:#797979'>Barnesiella_intestinihominis</i>"
"89","Lachnospiraceae_bacterium_5_1_63FAA","1e-04",0.763986013986014,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_5_1_63FAA</i>"
"41","Ruminococcus_sp_5_1_39BFAA","1e-05",0.771853146853147,"#797979","<i style='color:#797979'>Ruminococcus_sp_5_1_39BFAA</i>"
"96","Ruminococcus_sp_5_1_39BFAA","1e-04",0.771853146853147,"#797979","<i style='color:#797979'>Ruminococcus_sp_5_1_39BFAA</i>"
"36","Barnesiella_intestinihominis","1e-05",0.77534965034965,"#797979","<i style='color:#797979'>Barnesiella_intestinihominis</i>"
"6","Alistipes_finegoldii","1e-05",0.776223776223776,"#797979","<i style='color:#797979'>Alistipes_finegoldii</i>"
"156","Dorea_longicatena","0.001",0.778846153846154,"#797979","<i style='color:#797979'>Dorea_longicatena</i>"
"53","Bifidobacterium_adolescentis","1e-05",0.77972027972028,"#797979","<i style='color:#797979'>Bifidobacterium_adolescentis</i>"
"102","Alistipes_onderdonkii","1e-04",0.77972027972028,"#797979","<i style='color:#797979'>Alistipes_onderdonkii</i>"
"37","Bacteroides_thetaiotaomicron","1e-05",0.787587412587413,"#797979","<i style='color:#797979'>Bacteroides_thetaiotaomicron</i>"
"136","Ruminococcus_obeum","0.001",0.79020979020979,"#797979","<i style='color:#797979'>Ruminococcus_obeum</i>"
"79","Eubacterium_eligens","1e-04",0.792832167832168,"#797979","<i style='color:#797979'>Eubacterium_eligens</i>"
"182","Eubacterium_rectale","0.01",0.798076923076923,"#D55E00","<i style='color:#D55E00'>Eubacterium_rectale</i>"
"16","Lachnospiraceae_bacterium_3_1_46FAA","1e-05",0.801573426573427,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_3_1_46FAA</i>"
"39","Bacteroides_dorei","1e-05",0.804195804195804,"#797979","<i style='color:#797979'>Bacteroides_dorei</i>"
"154","Coprococcus_comes","0.001",0.804195804195804,"#797979","<i style='color:#797979'>Coprococcus_comes</i>"
"104","Coprococcus_catus","1e-04",0.80506993006993,"#D55E00","<i style='color:#D55E00'>Coprococcus_catus</i>"
"59","Alistipes_shahii","1e-04",0.806818181818182,"#797979","<i style='color:#797979'>Alistipes_shahii</i>"
"60","Alistipes_putredinis","1e-04",0.812062937062937,"#797979","<i style='color:#797979'>Alistipes_putredinis</i>"
"20","Eubacterium_ramulus","1e-05",0.817307692307692,"#797979","<i style='color:#797979'>Eubacterium_ramulus</i>"
"38","Ruminococcus_bromii","1e-05",0.820804195804196,"#797979","<i style='color:#797979'>Ruminococcus_bromii</i>"
"105","Bifidobacterium_longum","1e-04",0.820804195804196,"#797979","<i style='color:#797979'>Bifidobacterium_longum</i>"
"33","Bilophila_unclassified","1e-05",0.821678321678322,"#797979","<i style='color:#797979'>Bilophila_unclassified</i>"
"117","Bacteroides_vulgatus","0.001",0.821678321678322,"#797979","<i style='color:#797979'>Bacteroides_vulgatus</i>"
"29","Streptococcus_salivarius","1e-05",0.822552447552448,"#797979","<i style='color:#797979'>Streptococcus_salivarius</i>"
"24","Eubacterium_eligens","1e-05",0.823426573426573,"#797979","<i style='color:#797979'>Eubacterium_eligens</i>"
"47","Alistipes_onderdonkii","1e-05",0.825174825174825,"#797979","<i style='color:#797979'>Alistipes_onderdonkii</i>"
"4","Alistipes_shahii","1e-05",0.826048951048951,"#797979","<i style='color:#797979'>Alistipes_shahii</i>"
"48","Anaerostipes_hadrus","1e-05",0.829545454545455,"#797979","<i style='color:#797979'>Anaerostipes_hadrus</i>"
"73","Roseburia_hominis","1e-04",0.83041958041958,"#797979","<i style='color:#797979'>Roseburia_hominis</i>"
"49","Coprococcus_catus","1e-05",0.831293706293706,"#D55E00","<i style='color:#D55E00'>Coprococcus_catus</i>"
"32","Clostridium_leptum","1e-05",0.83479020979021,"#797979","<i style='color:#797979'>Clostridium_leptum</i>"
"5","Alistipes_putredinis","1e-05",0.836538461538462,"#797979","<i style='color:#797979'>Alistipes_putredinis</i>"
"85","Collinsella_aerofaciens","1e-04",0.847027972027972,"#797979","<i style='color:#797979'>Collinsella_aerofaciens</i>"
"30","Collinsella_aerofaciens","1e-05",0.858391608391608,"#797979","<i style='color:#797979'>Collinsella_aerofaciens</i>"
"50","Bifidobacterium_longum","1e-05",0.858391608391608,"#797979","<i style='color:#797979'>Bifidobacterium_longum</i>"
"98","Eubacterium_hallii","1e-04",0.861888111888112,"#D55E00","<i style='color:#D55E00'>Eubacterium_hallii</i>"
"95","Roseburia_inulinivorans","1e-04",0.864510489510489,"#797979","<i style='color:#797979'>Roseburia_inulinivorans</i>"
"57","Bacteroides_ovatus","1e-04",0.868881118881119,"#D55E00","<i style='color:#D55E00'>Bacteroides_ovatus</i>"
"34","Lachnospiraceae_bacterium_5_1_63FAA","1e-05",0.871503496503496,"#797979","<i style='color:#797979'>Lachnospiraceae_bacterium_5_1_63FAA</i>"
"62","Bacteroides_vulgatus","1e-04",0.881118881118881,"#797979","<i style='color:#797979'>Bacteroides_vulgatus</i>"
"145","Bacteroides_uniformis","0.001",0.884615384615385,"#797979","<i style='color:#797979'>Bacteroides_uniformis</i>"
"28","Lachnospiraceae_bacterium_7_1_58FAA","1e-05",0.886363636363636,"#D55E00","<i style='color:#D55E00'>Lachnospiraceae_bacterium_7_1_58FAA</i>"
"99","Coprococcus_comes","1e-04",0.88986013986014,"#797979","<i style='color:#797979'>Coprococcus_comes</i>"
"18","Roseburia_hominis","1e-05",0.894230769230769,"#797979","<i style='color:#797979'>Roseburia_hominis</i>"
"101","Dorea_longicatena","1e-04",0.894230769230769,"#797979","<i style='color:#797979'>Dorea_longicatena</i>"
"40","Roseburia_inulinivorans","1e-05",0.895104895104895,"#797979","<i style='color:#797979'>Roseburia_inulinivorans</i>"
"44","Coprococcus_comes","1e-05",0.901223776223776,"#797979","<i style='color:#797979'>Coprococcus_comes</i>"
"68","Oscillibacter_unclassified","1e-04",0.903846153846154,"#797979","<i style='color:#797979'>Oscillibacter_unclassified</i>"
"7","Bacteroides_vulgatus","1e-05",0.908216783216783,"#797979","<i style='color:#797979'>Bacteroides_vulgatus</i>"
"173","Faecalibacterium_prausnitzii","0.01",0.908216783216783,"#D55E00","<i style='color:#D55E00'>Faecalibacterium_prausnitzii</i>"
"2","Bacteroides_ovatus","1e-05",0.909090909090909,"#D55E00","<i style='color:#D55E00'>Bacteroides_ovatus</i>"
"78","Dorea_formicigenerans","1e-04",0.909965034965035,"#797979","<i style='color:#797979'>Dorea_formicigenerans</i>"
"46","Dorea_longicatena","1e-05",0.916083916083916,"#797979","<i style='color:#797979'>Dorea_longicatena</i>"
"43","Eubacterium_hallii","1e-05",0.916958041958042,"#D55E00","<i style='color:#D55E00'>Eubacterium_hallii</i>"
"23","Dorea_formicigenerans","1e-05",0.924825174825175,"#797979","<i style='color:#797979'>Dorea_formicigenerans</i>"
"127","Eubacterium_rectale","0.001",0.926573426573427,"#D55E00","<i style='color:#D55E00'>Eubacterium_rectale</i>"
"90","Bacteroides_uniformis","1e-04",0.93006993006993,"#797979","<i style='color:#797979'>Bacteroides_uniformis</i>"
"35","Bacteroides_uniformis","1e-05",0.942307692307692,"#797979","<i style='color:#797979'>Bacteroides_uniformis</i>"
"81","Ruminococcus_obeum","1e-04",0.954545454545455,"#797979","<i style='color:#797979'>Ruminococcus_obeum</i>"
"13","Oscillibacter_unclassified","1e-05",0.95541958041958,"#797979","<i style='color:#797979'>Oscillibacter_unclassified</i>"
"72","Eubacterium_rectale","1e-04",0.956293706293706,"#D55E00","<i style='color:#D55E00'>Eubacterium_rectale</i>"
"137","Ruminococcus_torques","0.001",0.966783216783217,"#797979","<i style='color:#797979'>Ruminococcus_torques</i>"
"17","Eubacterium_rectale","1e-05",0.972027972027972,"#D55E00","<i style='color:#D55E00'>Eubacterium_rectale</i>"
"118","Faecalibacterium_prausnitzii","0.001",0.977272727272727,"#D55E00","<i style='color:#D55E00'>Faecalibacterium_prausnitzii</i>"
"26","Ruminococcus_obeum","1e-05",0.982517482517482,"#797979","<i style='color:#797979'>Ruminococcus_obeum</i>"
"121","Subdoligranulum_unclassified","0.001",0.98513986013986,"#D55E00","<i style='color:#D55E00'>Subdoligranulum_unclassified</i>"
"63","Faecalibacterium_prausnitzii","1e-04",0.989510489510489,"#D55E00","<i style='color:#D55E00'>Faecalibacterium_prausnitzii</i>"
"8","Faecalibacterium_prausnitzii","1e-05",0.992132867132867,"#D55E00","<i style='color:#D55E00'>Faecalibacterium_prausnitzii</i>"
"82","Ruminococcus_torques","1e-04",0.996503496503496,"#797979","<i style='color:#797979'>Ruminococcus_torques</i>"
"27","Ruminococcus_torques","1e-05",0.997377622377622,"#797979","<i style='color:#797979'>Ruminococcus_torques</i>"
"66","Subdoligranulum_unclassified","1e-04",0.997377622377622,"#D55E00","<i style='color:#D55E00'>Subdoligranulum_unclassified</i>"
"11","Subdoligranulum_unclassified","1e-05",0.998251748251748,"#D55E00","<i style='color:#D55E00'>Subdoligranulum_unclassified</i>"
